,element,Number,MendeleevNumber,AtomicWeight,MeltingT,Column,Row,CovalentRadius,Electronegativity,NsValence,NpValence,NdValence,NfValence,NValence,NsUnfilled,NpUnfilled,NdUnfilled,NfUnfilled,NUnfilled,GSvolume_pa,GSbandgap,GSmagmom,SpaceGroupNumber
19,Ca,-1.0357142857142858,-1.5115854259431674,-1.0754521846840084,-0.19641761146920084,-1.0705576633087348,-0.5709200054483393,0.5488974020463828,-1.1714847920401896,0.4477667355944951,-0.5770450350846598,-0.8885851142416609,-0.6736399056804304,-1.067405855045159,-0.4444444444444444,-0.5169341375966833,-0.6299958172994405,-0.44122126175828436,-0.9386254767696866,0.6803039190183877,-0.32588186366206906,-0.2078325895799724,0.6917751752220731
20,Sc,-1.0,-1.3799366840203955,-1.0088568925905284,0.5867270159758267,-0.8980591693868955,-0.5709200054483393,0.41208443074402956,-0.5961226410128561,0.4477667355944951,-0.5770450350846598,-0.6530857806858109,-0.6736399056804304,-0.9406759065269455,-0.4444444444444444,-0.5169341375966833,2.066015694967283,-0.44122126175828436,0.9450987559198223,-0.2512094484459978,-0.32588186366206906,-0.20780943684192718,0.1841695256630751
21,Ti,-0.9642857142857143,-0.32674674863821995,-0.969113503273578,0.7290150956403739,-0.7255606754650561,-0.5709200054483393,0.18406281190677412,-0.30844156549918944,0.4477667355944951,-0.5770450350846598,-0.41758644712996085,-0.6736399056804304,-0.813945958008732,-0.4444444444444444,-0.5169341375966833,1.7664588602709803,-0.44122126175828436,0.7357960633987657,-0.5837000582039646,-0.32588186366206906,-0.20775043078249975,0.1841695256630751
22,V,-0.9285714285714286,-0.228010192196141,-0.9271391450765863,1.0001467120090386,-0.5530621815432167,-0.5709200054483393,0.02444767872069534,-0.16460102774235633,0.4477667355944951,-0.5770450350846598,-0.18208711357411084,-0.6736399056804304,-0.6872160094905185,-0.4444444444444444,-0.5169341375966833,1.4669020255746779,-0.44122126175828436,0.5264933708777092,-0.8043610940757985,-0.32588186366206906,-0.2078325895799724,0.7572726783909761
23,Cr,-0.8928571428571429,-0.12927363575406203,-0.9127413053775953,0.9967855762689312,-0.3805636876213774,-0.5709200054483393,-0.29478258765146226,-0.11665418182341182,-1.9651984506647284,-0.5770450350846598,0.28891155353758924,-0.6736399056804304,-0.5604860609723051,2.25,-0.5169341375966833,0.8677883561820724,-0.44122126175828436,0.31719067835665266,-0.9134923672515425,-0.32588186366206906,-0.2078325895799724,0.7572726783909761
24,Mn,-0.8571428571428571,-0.030537079311983073,-0.8725766434078934,0.25621533486526427,-0.20806519369953805,-0.5709200054483393,-0.29478258765146226,-0.2924592835262079,0.4477667355944951,-0.5770450350846598,0.28891155353758924,-0.6736399056804304,-0.43375611245409157,-0.4444444444444444,-0.5169341375966833,0.8677883561820724,-0.44122126175828436,0.10788798583559614,-0.9556106702939635,-0.32588186366206906,-0.20670185838469957,0.5607801688842672
25,Fe,-0.8214285714285714,0.06819947713009589,-0.8601945149191789,0.5833658802357192,-0.035566699777698704,-0.5709200054483393,-0.45439772083754104,0.15504461171727366,0.4477667355944951,-0.5770450350846598,0.5244108870934393,-0.6736399056804304,-0.3070261639358781,-0.4444444444444444,-0.5169341375966833,0.5682315214857698,-0.44122126175828436,-0.10141470668546039,-0.9410749967355216,-0.32588186366206906,7.487856057691324,0.7572726783909761
26,Co,-0.7857142857142857,0.16693603357217485,-0.8180331868618821,0.5351896012941797,0.13693179414414064,-0.5709200054483393,-0.5912106921398943,0.2349560215821808,0.4477667355944951,-0.5770450350846598,0.7599102206492893,-0.6736399056804304,-0.1802962154176646,-0.4444444444444444,-0.5169341375966833,0.26867468678946727,-0.44122126175828436,-0.3107173992065169,-0.9701566821697171,-0.32588186366206906,5.43804899532623,0.1841695256630751
27,Ni,-0.75,0.2656725900142538,-0.8213069683625644,0.4903744580927475,0.30943028806598,-0.5709200054483393,-0.6368150159073453,0.28290286750112525,0.4477667355944951,-0.5770450350846598,0.9954095542051393,-0.6736399056804304,-0.0535662668994511,-0.4444444444444444,-0.5169341375966833,-0.03088214790683534,-0.44122126175828436,-0.5200200917275735,-0.9656595143190683,-0.32588186366206906,1.96303631161803,0.6917751752220731
28,Cu,-0.7142857142857143,0.36440914645633277,-0.7550572462657283,0.07557669640609146,0.4819287819878193,-0.5709200054483393,-0.45439772083754104,0.2669205855281438,-1.9651984506647284,-0.5770450350846598,1.4664082213168395,-0.6736399056804304,0.0731636816187624,2.25,-0.5169341375966833,-0.6299958172994405,-0.44122126175828436,-0.72932278424863,-0.9206878358125804,-0.32588186366206906,-0.2078325895799724,0.6917751752220731
